ID	parent	parent_label	structure	Plant structure label	Text definition					Comments					Label
PPO:0002036	PPO:0002036	pollen-releasing flower presence		pollen-releasing flower	A {plant phenological trait} that is measured by the number of pollen-releasing flowers {$pollen-releasing flower} on a {whole plant}.					The number can be 0 or more.					pollen-releasing flower presence
PPO:0002037	PPO:0002037	senesced flower presence		senesced flower	A {plant phenological trait} that is measured by the number of senesced flowers {$senesced flower} on a {whole plant}.					The number can be 0 or more.					senesced flower presence
PPO:0002038	PPO:0002038	flower head presence		PO:'inflorescence'	A {plant phenological trait} that is measured by the number of inflorescences {$PO:'inflorescence'} on a {whole plant}.					The number can be 0 or more.					flower head presence
PPO:0002039	PPO:0002039	non-senesced flower head presence		non-senesced flower head	A {plant phenological trait} that is measured by the number of non-senesced flower heads {$non-senesced flower head} on a {whole plant}.					The number can be 0 or more.					non-senesced flower head presence
PPO:0002040	PPO:0002040	unopened flower head presence		unopened flower head	A {plant phenological trait} that is measured by the number of unopened flower heads {$unopened flower head} on a {whole plant}.					The number can be 0 or more.					unopened flower head presence
PPO:0002041	PPO:0002041	open flower head presence		open flower head	A {plant phenological trait} that is measured by the number of open flower heads {$open flower head} on a {whole plant}.					The number can be 0 or more.					open flower head presence
PPO:0002042	PPO:0002042	pollen-releasing flower head presence		pollen-releasing flower head	A {plant phenological trait} that is measured by the number of pollen-releasing flower heads {$pollen-releasing flower head} on a {whole plant}.					The number can be 0 or more.					pollen-releasing flower head presence
PPO:0002043	PPO:0002043	senesced flower head presence		senesced flower head	A {plant phenological trait} that is measured by the number of senesced flower heads {$senesced flower head} on a {whole plant}.					The number can be 0 or more.					senesced flower head presence
PPO:0002044	PPO:0002044	fruit presence		simple fruit or compound fruit	A {plant phenological trait} that is measured by the number of simple fruit or compound fruits {$simple fruit or compound fruit} on a {whole plant}.					The number can be 0 or more.					fruit presence
PPO:0002045	PPO:0002045	ripening fruit presence		ripening fruit	A {plant phenological trait} that is measured by the number of ripening fruits {$ripening fruit} on a {whole plant}.					The number can be 0 or more.					ripening fruit presence
PPO:0002046	PPO:0002046	unripe fruit presence		unripe fruit	A {plant phenological trait} that is measured by the number of unripe fruits {$unripe fruit} on a {whole plant}.					The number can be 0 or more.					unripe fruit presence
PPO:0002047	PPO:0002047	ripe fruit presence		ripe fruit	A {plant phenological trait} that is measured by the number of ripe fruits {$ripe fruit} on a {whole plant}.					The number can be 0 or more.					ripe fruit presence
PPO:0002048	PPO:0002048	cone presence		PO:'strobilus'	A {plant phenological trait} that is measured by the number of cones (strobili) {$strobilus} on a {whole plant}.					The number can be 0 or more.					cone presence
PPO:0002049	PPO:0002049	pollen cone presence		PO:'microsporangiate strobilus'	A {plant phenological trait} that is measured by the number of pollen cones {$PO:'microsporangiate strobilus'} on a {whole plant}.					The number can be 0 or more.					pollen cone presence
PPO:0002050	PPO:0002050	fresh pollen cone presence		fresh pollen cone	A {plant phenological trait} that is measured by the number of fresh pollen cones {$fresh pollen cone} on a {whole plant}.					The number can be 0 or more.					fresh pollen cone presence
PPO:0002051	PPO:0002051	open pollen cone presence		open pollen cone	A {plant phenological trait} that is measured by the number of open pollen cones {$open pollen cone} on a {whole plant}.					The number can be 0 or more.					open pollen cone presence
PPO:0002052	PPO:0002052	pollen-releasing pollen cone presence		pollen-releasing pollen cone	A {plant phenological trait} that is measured by the number of pollen-releasing pollen cones {$pollen-releasing pollen cone} on a {whole plant}.					The number can be 0 or more.					pollen-releasing pollen cone presence
PPO:0002053	PPO:0002053	seed cone presence		PO:'megasporangiate strobilus'	A {plant phenological trait} that is measured by the number of seed cones {$PO:'megasporangiate strobilus'} on a {whole plant}.					The number can be 0 or more.					seed cone presence
PPO:0002054	PPO:0002054	fresh seed cone presence		fresh seed cone	A {plant phenological trait} that is measured by the number of fresh seed cones {$fresh seed cone} on a {whole plant}.					The number can be 0 or more.					fresh seed cone presence
PPO:0002055	PPO:0002055	ripening seed cone presence		ripening seed cone	A {plant phenological trait} that is measured by the number of ripening seed cones {$ripening seed cone} on a {whole plant}.					The number can be 0 or more.					ripening seed cone presence
PPO:0002056	PPO:0002056	unripe seed cone presence		unripe seed cone	A {plant phenological trait} that is measured by the number of unripe seed cones {$unripe seed cone} on a {whole plant}.					The number can be 0 or more.					unripe seed cone presence
PPO:0002057	PPO:0002057	ripe seed cone presence		ripe seed cone	A {plant phenological trait} that is measured by the number of ripe seed cones {$ripe seed cone} on a {whole plant}.					The number can be 0 or more.					ripe seed cone presence
