Type,ID,Label,Parent,Plant structure,Text definition,Superclass of,Equivalent to,Ignore,Notes,Plant type
Class,PPO:0002320,'expanding unfolded true leaves present','expanding unfolded true leaf presence','expanding unfolded true leaf',An {'expanding unfolded true leaf presence'} trait that is a {quality of} a {whole plant} that has at least one {'expanding unfolded true leaf'}.,"'expanding unfolded true leaf presence' AND 'has quality datum' SOME (
    'data item' AND (
        ('lower count' SOME xsd:integer[>0]) OR
        ('lower percent' SOME xsd:decimal[>0.0])
    )
)","'plant structure presence' AND 'quality of' SOME (
    'whole plant' AND 'has visible part' SOME 'expanding unfolded true leaf'
) AND 'depends on structure' SOME (
    'has visible part' SOME 'expanding unfolded true leaf'
)",,,
Class,PPO:0002321,'expanded immature true leaves present','expanded immature true leaf presence','expanded immature true leaf',An {'expanded immature true leaf presence'} trait that is a {quality of} a {whole plant} that has at least one {'expanded immature true leaf'}.,"'expanded immature true leaf presence' AND 'has quality datum' SOME (
    'data item' AND (
        ('lower count' SOME xsd:integer[>0]) OR
        ('lower percent' SOME xsd:decimal[>0.0])
    )
)","'plant structure presence' AND 'quality of' SOME (
    'whole plant' AND 'has visible part' SOME 'expanded immature true leaf'
) AND 'depends on structure' SOME (
    'has visible part' SOME 'expanded immature true leaf'
)",,,
Class,PPO:0002322,'expanding true leaves present','expanding true leaf presence','expanding true leaf',An {'expanding true leaf presence'} trait that is a {quality of} a {whole plant} that has at least one {'expanding true leaf'}.,"'expanding true leaf presence' AND 'has quality datum' SOME (
    'data item' AND (
        ('lower count' SOME xsd:integer[>0]) OR
        ('lower percent' SOME xsd:decimal[>0.0])
    )
)","'plant structure presence' AND 'quality of' SOME (
    'whole plant' AND 'has visible part' SOME 'expanding true leaf'
) AND 'depends on structure' SOME (
    'has visible part' SOME 'expanding true leaf'
)",,,
,,,,,,,,,,
Class,PPO:0002323,'reproductive structures present','reproductive structure presence','reproductive structure',A {'reproductive structure presence'} trait that is a {quality of} a {whole plant} that has at least one {'reproductive structure'}.,"'reproductive structure presence' AND 'has quality datum' SOME (
    'data item' AND (
        ('lower count' SOME xsd:integer[>0]) OR
        ('lower percent' SOME xsd:decimal[>0.0])
    )
)","'plant structure presence' AND 'quality of' SOME (
    'whole plant' AND 'has visible part' SOME 'reproductive structure'
) AND 'depends on structure' SOME (
    'has visible part' SOME 'reproductive structure'
)",,,
Class,PPO:0002324,'floral structures present','floral structure presence','floral structure',A {'floral structure presence'} trait that is a {quality of} a {whole plant} that has at least one {'floral structure'}.,"'floral structure presence' AND 'has quality datum' SOME (
    'data item' AND (
        ('lower count' SOME xsd:integer[>0]) OR
        ('lower percent' SOME xsd:decimal[>0.0])
    )
)","'plant structure presence' AND 'quality of' SOME (
    'whole plant' AND 'has visible part' SOME 'floral structure'
) AND 'depends on structure' SOME (
    'has visible part' SOME 'floral structure'
)",,,
Class,PPO:0002325,'non-senesced floral structures present','non-senesced floral structure presence','non-senesced floral structure',A {'non-senesced floral structure presence'} trait that is a {quality of} a {whole plant} that has at least one {'non-senesced floral structure'}.,"'non-senesced floral structure presence' AND 'has quality datum' SOME (
    'data item' AND (
        ('lower count' SOME xsd:integer[>0]) OR
        ('lower percent' SOME xsd:decimal[>0.0])
    )
)","'plant structure presence' AND 'quality of' SOME (
    'whole plant' AND 'has visible part' SOME 'non-senesced floral structure'
) AND 'depends on structure' SOME (
    'has visible part' SOME 'non-senesced floral structure'
)",,,
Class,PPO:0002326,'unopened floral structures present','unopened floral structure presence','unopened floral structure',An {'unopened floral structure presence'} trait that is a {quality of} a {whole plant} that has at least one {'unopened floral structure'}.,"'unopened floral structure presence' AND 'has quality datum' SOME (
    'data item' AND (
        ('lower count' SOME xsd:integer[>0]) OR
        ('lower percent' SOME xsd:decimal[>0.0])
    )
)","'plant structure presence' AND 'quality of' SOME (
    'whole plant' AND 'has visible part' SOME 'unopened floral structure'
) AND 'depends on structure' SOME (
    'has visible part' SOME 'unopened floral structure'
)",,,
Class,PPO:0002327,'open floral structures present','open floral structure presence','open floral structure',An {'open floral structure presence'} trait that is a {quality of} a {whole plant} that has at least one {'open floral structure'}.,"'open floral structure presence' AND 'has quality datum' SOME (
    'data item' AND (
        ('lower count' SOME xsd:integer[>0]) OR
        ('lower percent' SOME xsd:decimal[>0.0])
    )
)","'plant structure presence' AND 'quality of' SOME (
    'whole plant' AND 'has visible part' SOME 'open floral structure'
) AND 'depends on structure' SOME (
    'has visible part' SOME 'open floral structure'
)",,,
Class,PPO:0002328,'pollen-releasing floral structures present','pollen-releasing floral structure presence','pollen-releasing floral structure',A {'pollen-releasing floral structure presence'} trait that is a {quality of} a {whole plant} that has at least one {'pollen-releasing floral structure'}.,"'pollen-releasing floral structure presence' AND 'has quality datum' SOME (
    'data item' AND (
        ('lower count' SOME xsd:integer[>0]) OR
        ('lower percent' SOME xsd:decimal[>0.0])
    )
)","'plant structure presence' AND 'quality of' SOME (
    'whole plant' AND 'has visible part' SOME 'pollen-releasing floral structure'
) AND 'depends on structure' SOME (
    'has visible part' SOME 'pollen-releasing floral structure'
)",,,
