Type,ID,Label,Parent,Plant structure,Text definition,Comments,Subclass of,Ignore,Notes,Plant type
Class,PPO:0002053,seed cone presence,'plant structure presence',PO:'megasporangiate strobilus',A {plant phenological trait} that is measured by the number of seed cones {$PO:'megasporangiate strobilus'} on a {whole plant}.,The number can be 0 or more.,,,,
Class,PPO:0002054,fresh seed cone presence,'plant structure presence',fresh seed cone,A {plant phenological trait} that is measured by the number of fresh seed cones {$fresh seed cone} on a {whole plant}.,The number can be 0 or more.,,,,
Class,PPO:0002055,ripening seed cone presence,'plant structure presence',ripening seed cone,A {plant phenological trait} that is measured by the number of ripening seed cones {$ripening seed cone} on a {whole plant}.,The number can be 0 or more.,,,,
Class,PPO:0002056,unripe seed cone presence,'plant structure presence',unripe seed cone,A {plant phenological trait} that is measured by the number of unripe seed cones {$unripe seed cone} on a {whole plant}.,The number can be 0 or more.,,,,
Class,PPO:0002057,ripe seed cone presence,'plant structure presence',ripe seed cone,A {plant phenological trait} that is measured by the number of ripe seed cones {$ripe seed cone} on a {whole plant}.,The number can be 0 or more.,,,,
,,,,,,,,,,
Class,PPO:0002058,abscised leaf presence,'abscised plant structure presence',true leaf,A {plant phenological trait} that is measured by the number of true leaves {$true leaf} that a {whole plant} has abscised.,The number can be 0 or more.,,,,
Class,PPO:0002059,abscised fruit or seed presence,'abscised plant structure presence',ripe fruit,A {plant phenological trait} that is measured by the number of a whole plant's ripe fruits {$ripe fruit} that have been abscised or removed by an herbivore and/or the number of ripe fruits on a {whole plant} that have abscised at least one {mature seed}.,The number can be 0 or more.,,,,
Class,PPO:0002060,abscised cone or seed presence,'abscised plant structure presence',ripe seed cone,A {plant phenological trait} that is measured by the number of a whole plant's ripe seed cones {$ripe seed cone} that have been abscised or removed by an herbivore and/or the number of ripe seed cones on a {whole plant} that have abscised at least one {mature seed}.,The number can be 0 or more and only includes the most recent cone crop.,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
